1746052464.577131 - {'icao24': 'a92384', 'callsign': 'UAL2029 ', 'origin_country': 'United States', 'time_position': 1746052252, 'last_contact': 1746052252, 'longitude': -117.1203, 'latitude': 32.7166, 'baro_altitude': 365.76, 'on_ground': False, 'velocity': 78.3, 'heading': 286.41, 'vertical_rate': -4.55, 'sensors': None, 'geo_altitude': 373.38, 'squawk': '5633', 'spi': False, 'position_source': 0}
1746052464.57716 - {'icao24': 'a11ad4', 'callsign': 'SKW3320 ', 'origin_country': 'United States', 'time_position': 1746052264, 'last_contact': 1746052264, 'longitude': -117.0955, 'latitude': 32.7107, 'baro_altitude': 510.54, 'on_ground': False, 'velocity': 73.28, 'heading': 285.89, 'vertical_rate': -4.55, 'sensors': None, 'geo_altitude': 495.3, 'squawk': '2510', 'spi': False, 'position_source': 0}
1746052470.071692 - {'icao24': '3c6718', 'callsign': 'DLH5Y   ', 'origin_country': 'Germany', 'time_position': 1746052199, 'last_contact': 1746052225, 'longitude': -117.1243, 'latitude': 32.7178, 'baro_altitude': 335.28, 'on_ground': False, 'velocity': 65.02, 'heading': 285.14, 'vertical_rate': -3.9, 'sensors': None, 'geo_altitude': 320.04, 'squawk': '3302', 'spi': False, 'position_source': 0}
1746052470.072406 - {'icao24': 'a0ec4d', 'callsign': 'JAS3    ', 'origin_country': 'United States', 'time_position': 1746052146, 'last_contact': 1746052150, 'longitude': -117.1237, 'latitude': 32.7176, 'baro_altitude': 335.28, 'on_ground': False, 'velocity': 60.56, 'heading': 286.28, 'vertical_rate': -3.9, 'sensors': None, 'geo_altitude': 312.42, 'squawk': '1536', 'spi': False, 'position_source': 0}
1746052470.072535 - {'icao24': 'abb94f', 'callsign': 'SWA1305 ', 'origin_country': 'United States', 'time_position': 1746052458, 'last_contact': 1746052458, 'longitude': -117.0284, 'latitude': 32.6943, 'baro_altitude': 868.68, 'on_ground': False, 'velocity': 101.34, 'heading': 285.31, 'vertical_rate': -5.53, 'sensors': None, 'geo_altitude': 876.3, 'squawk': '1773', 'spi': False, 'position_source': 0}
1746052470.072617 - {'icao24': 'a81289', 'callsign': 'N6190D  ', 'origin_country': 'United States', 'time_position': 1746052264, 'last_contact': 1746052264, 'longitude': -117.0501, 'latitude': 32.7867, 'baro_altitude': 807.72, 'on_ground': False, 'velocity': 46.34, 'heading': 292.86, 'vertical_rate': -2.6, 'sensors': None, 'geo_altitude': 784.86, 'squawk': None, 'spi': False, 'position_source': 0}
1746052470.0726411 - {'icao24': 'ac27cf', 'callsign': 'SWA1356 ', 'origin_country': 'United States', 'time_position': 1746052252, 'last_contact': 1746052252, 'longitude': -117.0209, 'latitude': 32.7014, 'baro_altitude': 922.02, 'on_ground': False, 'velocity': 88.96, 'heading': 256.29, 'vertical_rate': -5.2, 'sensors': None, 'geo_altitude': 922.02, 'squawk': '7344', 'spi': False, 'position_source': 0}
1746052470.072663 - {'icao24': 'a92384', 'callsign': 'UAL2029 ', 'origin_country': 'United States', 'time_position': 1746052252, 'last_contact': 1746052252, 'longitude': -117.1203, 'latitude': 32.7166, 'baro_altitude': 365.76, 'on_ground': False, 'velocity': 78.3, 'heading': 286.41, 'vertical_rate': -4.55, 'sensors': None, 'geo_altitude': 373.38, 'squawk': '5633', 'spi': False, 'position_source': 0}
1746052470.072684 - {'icao24': 'a11ad4', 'callsign': 'SKW3320 ', 'origin_country': 'United States', 'time_position': 1746052264, 'last_contact': 1746052264, 'longitude': -117.0955, 'latitude': 32.7107, 'baro_altitude': 510.54, 'on_ground': False, 'velocity': 73.28, 'heading': 285.89, 'vertical_rate': -4.55, 'sensors': None, 'geo_altitude': 495.3, 'squawk': '2510', 'spi': False, 'position_source': 0}
1746052475.567013 - {'icao24': '3c6718', 'callsign': 'DLH5Y   ', 'origin_country': 'Germany', 'time_position': 1746052199, 'last_contact': 1746052225, 'longitude': -117.1243, 'latitude': 32.7178, 'baro_altitude': 335.28, 'on_ground': False, 'velocity': 65.02, 'heading': 285.14, 'vertical_rate': -3.9, 'sensors': None, 'geo_altitude': 320.04, 'squawk': '3302', 'spi': False, 'position_source': 0}
